component,layer,n_A,n_D,A_projection_mean,D_projection_mean,D_minus_A_projection_gap
attn,0,95,95,-0.14756664218086946,-0.08648305492181527,0.06108358725905419
attn,1,95,95,-0.238181061493723,-0.18695508869070757,0.05122597280301544
attn,2,95,95,-0.043181093350837106,0.06161980762293464,0.10480090097377175
attn,3,95,95,0.12560493608838633,0.16643275900890953,0.0408278229205232
attn,4,95,95,-0.042299757035155046,0.026713430332510096,0.06901318736766514
attn,5,95,95,-0.3508988505915592,-0.30311374397654284,0.04778510661501634
attn,6,95,95,0.209710188915855,0.3176120364352276,0.10790184751937262
attn,7,95,95,0.47832284726594626,0.6164338224812558,0.13811097521530952
attn,8,95,95,-0.37037334693105595,-0.27702029394476035,0.09335305298629559
attn,9,95,95,0.6224344924876565,0.7399044463509008,0.11746995386324433
attn,10,95,95,0.011714738999542437,0.07393969003307192,0.062224951033529485
attn,11,95,95,0.542950388318614,0.6737751712924556,0.1308247829738416
attn,12,95,95,-0.2598281631344243,-0.17423569162033106,0.08559247151409324
attn,13,95,95,0.15715748714773278,0.33834816923266964,0.18119068208493685
attn,14,95,95,0.24843935542985013,0.4517672074468512,0.2033278520170011
attn,15,95,95,-0.3122559710552818,-0.058907183847929305,0.2533487872073525
attn,16,95,95,-0.19928902654271377,0.19569271457822698,0.39498174112094075
attn,17,95,95,-0.32185177687359484,0.35422132532847556,0.6760731022020704
attn,18,95,95,-0.9872999716746179,3.1790862409692062,4.1663862126438245
attn,19,95,95,-2.0097346086251107,0.3066671972604174,2.316401805885528
attn,20,95,95,-0.07302692814877158,1.3226672329400715,1.3956941610888431
attn,21,95,95,0.7883567474390331,1.8843793981953672,1.0960226507563342
attn,22,95,95,-3.425560798143086,-1.0389665195816442,2.3865942785614416
attn,23,95,95,-5.021490907669067,-1.2461805393821315,3.7753103682869353
attn,24,95,95,-3.6519484921505576,-1.9934262940758154,1.6585221980747422
attn,25,95,95,-2.4525183809430975,0.6325676980771516,3.085086079020249
attn,26,95,95,-4.51982156101026,-2.6824087594684802,1.8374128015417797
attn,27,95,95,-7.2113794427169,-6.3609187025772895,0.85046074013961
mlp,0,95,95,-0.268365005599825,-0.20814860086692008,0.06021640473290493
mlp,1,95,95,0.31728123928371227,0.32920864914592946,0.011927409862217186
mlp,2,95,95,0.19996005124167393,0.21073093398621207,0.010770882744538135
mlp,3,95,95,0.5614548526312175,0.6171643338705364,0.05570948123931885
mlp,4,95,95,0.19739954706869628,0.26961116116297873,0.07221161409428245
mlp,5,95,95,2.1269259515561556,2.2486456971419484,0.1217197455857928
mlp,6,95,95,1.0532338644328871,1.136132872732062,0.08289900829917496
mlp,7,95,95,-0.16464019307964725,-0.01872101314365864,0.1459191799359886
mlp,8,95,95,-0.6423166776958265,-0.3692448384275562,0.2730718392682703
mlp,9,95,95,0.13563762479706815,0.28611758774832674,0.1504799629512586
mlp,10,95,95,3.2664643839785925,3.625537503393073,0.3590731194144805
mlp,11,95,95,1.1588243045304951,1.4952816329504315,0.33645732841993636
mlp,12,95,95,-0.2728152590362649,0.04640145897865296,0.31921671801491786
mlp,13,95,95,1.4034647038108423,1.748660539325915,0.3451958355150726
mlp,14,95,95,-2.635765572598106,-2.198321419013174,0.43744415358493205
mlp,15,95,95,-1.842889400532371,-1.4966875992323223,0.34620180130004874
mlp,16,95,95,-0.922444182320645,-0.5566976112754721,0.36574657104517283
mlp,17,95,95,0.12100826611644343,1.1510079120334826,1.0299996459170393
mlp,18,95,95,-7.093515657123766,2.3523090657434964,9.445824722867263
mlp,19,95,95,-5.614819348015283,5.952763374228226,11.56758272224351
mlp,20,95,95,-6.1602325495920685,10.664006700013813,16.82423924960588
mlp,21,95,95,-0.40676609811029935,15.358821437233372,15.765587535343672
mlp,22,95,95,-9.286507205743538,14.15019840441252,23.43670561015606
mlp,23,95,95,-17.901368653146843,6.644255092269496,24.54562374541634
mlp,24,95,95,-20.72895474182932,2.6357125483061137,23.364667290135433
mlp,25,95,95,-21.249794337624,2.2746660408220793,23.52446037844608
mlp,26,95,95,-25.818999576568604,8.736701608958997,34.5557011855276
mlp,27,95,95,-11.186681321420167,39.83263136211195,51.019312683532114
resid_post,0,95,95,-0.4384874456807187,-0.317201093309804,0.12128635237091467
resid_post,1,95,95,-0.31932074647200737,-0.16659301942900606,0.1527277270430013
resid_post,2,95,95,-0.2831768340186069,-0.0570795056067015,0.22609732841190538
resid_post,3,95,95,0.8601742819735878,1.1245687936481676,0.26439451167457984
resid_post,4,95,95,1.1231439621824968,1.4529314041137695,0.32978744193127274
resid_post,5,95,95,1.2475454901394092,1.6487588669124402,0.40121337677303104
resid_post,6,95,95,2.2464728857341565,2.695157548000938,0.4486846622667815
resid_post,7,95,95,1.6041749853836862,2.1223476924394307,0.5181727070557445
resid_post,8,95,95,2.029564124659488,2.6975746004205,0.6680104757610117
resid_post,9,95,95,3.5113648765965513,4.1816329604700995,0.6702680838735482
resid_post,10,95,95,6.513621787021035,7.342813873291016,0.8291920862699813
resid_post,11,95,95,14.071379129510177,15.05382819928621,0.9824490697760329
resid_post,12,95,95,6.690904306110583,7.717408682170667,1.0265043760600845
resid_post,13,95,95,8.912461075029874,10.099989399157073,1.1875283241271983
resid_post,14,95,95,2.0361013575604088,3.449173392747578,1.4130720351871693
resid_post,15,95,95,-3.3313482999801636,-1.7102606152233324,1.6210876847568312
resid_post,16,95,95,-0.5523413783625553,1.3740016372580277,1.926343015620583
resid_post,17,95,95,2.9791361206456233,5.8561476607071725,2.8770115400615492
resid_post,18,95,95,-6.580964689505728,8.101097262533088,14.682061952038815
resid_post,19,95,95,-13.847204238490054,10.425319325296503,24.272523563786557
resid_post,20,95,95,-14.985499146110133,21.150674057006835,36.13617320311697
resid_post,21,95,95,-13.376192195791948,32.35219049955669,45.72838269534864
resid_post,22,95,95,-24.918458353845697,37.35432835629112,62.27278671013681
resid_post,23,95,95,-52.667728032563865,27.644572810122842,80.31230084268671
resid_post,24,95,95,-74.84312097649826,18.847243625239322,93.69036460173757
resid_post,25,95,95,-92.68705787658692,18.430621157194437,111.11767903378136
resid_post,26,95,95,-121.69346317492034,10.925308548776727,132.61877172369708
resid_post,27,95,95,-70.69500972346256,68.07734178241931,138.7723515058819
