layer,k,alpha,random_delta_toward_no_mean,random_yes_to_no_flip_rate_mean
20,20,1.0,0.0001096491228070173,0.0
20,20,1.5,-0.007017543859649123,0.0
20,20,2.0,-0.004002192982456139,0.0
20,20,3.0,0.02149122807017544,0.0
20,50,1.0,0.015953947368421054,0.0
20,50,1.5,-0.009703947368421053,0.0
20,50,2.0,-0.012664473684210526,0.0
20,50,3.0,0.0031250000000000006,0.0
20,100,1.0,0.03229166666666666,0.0
20,100,1.5,-0.007401315789473684,0.0
20,100,2.0,0.03404605263157895,0.0
20,100,3.0,0.41639254385964913,0.0
22,20,1.0,0.011184210526315791,0.0
22,20,1.5,0.022916666666666665,0.0
22,20,2.0,-0.004057017543859649,0.0
22,20,3.0,0.020339912280701755,0.0
22,50,1.0,-0.006250000000000001,0.0
22,50,1.5,-0.08360745614035088,0.0
22,50,2.0,-0.0034539473684210543,0.0
22,50,3.0,-0.008881578947368421,0.0
22,100,1.0,0.010087719298245614,0.0
22,100,1.5,-0.0057017543859649135,0.0
22,100,2.0,-0.01699561403508772,0.0
22,100,3.0,-0.25756578947368425,0.0
23,20,1.0,-0.0009868421052631584,0.0
23,20,1.5,0.006907894736842105,0.0
23,20,2.0,-0.001425438596491228,0.0
23,20,3.0,0.019572368421052633,0.0
23,50,1.0,0.004002192982456141,0.0
23,50,1.5,0.015515350877192982,0.0
23,50,2.0,-0.0331140350877193,0.0
23,50,3.0,0.012390350877192985,0.0
23,100,1.0,-0.002192982456140351,0.0
23,100,1.5,0.019353070175438594,0.0
23,100,2.0,0.0900219298245614,0.0
23,100,3.0,0.2292763157894737,0.0
