layer,k,alpha,control_type,n,normal_margin_mean,intervened_margin_mean,delta_toward_no_mean,yes_to_no_flips,yes_to_no_flip_rate
20,50,3.0,random_neurons_0,95,13.604276315789473,13.570065789473684,0.034210526315789476,0,0.0
20,50,3.0,random_neurons_1,95,13.604276315789473,13.692269736842105,-0.08799342105263158,0,0.0
20,50,3.0,random_neurons_2,95,13.604276315789473,13.539473684210526,0.06480263157894736,0,0.0
20,50,3.0,top_writer_neurons,95,13.604276315789473,-1.1983552631578946,14.802631578947368,95,1.0
20,100,3.0,random_neurons_0,95,13.604276315789473,12.275986842105263,1.3282894736842106,1,0.010526315789473684
20,100,3.0,random_neurons_1,95,13.604276315789473,13.502138157894738,0.10213815789473685,0,0.0
20,100,3.0,random_neurons_2,95,13.604276315789473,13.820065789473684,-0.21578947368421053,0,0.0
20,100,3.0,top_writer_neurons,95,13.604276315789473,-2.1625,15.766776315789473,95,1.0
22,50,3.0,random_neurons_0,95,13.604276315789473,13.6375,-0.033223684210526315,0,0.0
22,50,3.0,random_neurons_1,95,13.604276315789473,13.607730263157896,-0.0034539473684210525,0,0.0
22,50,3.0,random_neurons_2,95,13.604276315789473,13.598684210526315,0.005592105263157895,0,0.0
22,50,3.0,top_writer_neurons,95,13.604276315789473,-0.15361842105263157,13.757894736842106,48,0.5052631578947369
22,100,3.0,random_neurons_0,95,13.604276315789473,14.312993421052632,-0.7087171052631579,0,0.0
22,100,3.0,random_neurons_1,95,13.604276315789473,13.630592105263158,-0.02631578947368421,0,0.0
22,100,3.0,random_neurons_2,95,13.604276315789473,13.641447368421053,-0.037171052631578945,0,0.0
22,100,3.0,top_writer_neurons,95,13.604276315789473,-0.7429276315789474,14.34720394736842,81,0.8526315789473684
23,50,3.0,random_neurons_0,95,13.604276315789473,13.619572368421053,-0.015296052631578948,0,0.0
23,50,3.0,random_neurons_1,95,13.604276315789473,13.565625,0.038651315789473686,0,0.0
23,50,3.0,random_neurons_2,95,13.604276315789473,13.584703947368421,0.01957236842105263,0,0.0
23,50,3.0,top_writer_neurons,95,13.604276315789473,-1.0054276315789474,14.609703947368422,63,0.6631578947368421
23,100,3.0,random_neurons_0,95,13.604276315789473,13.69013157894737,-0.08585526315789474,0,0.0
23,100,3.0,random_neurons_1,95,13.604276315789473,13.499177631578947,0.10509868421052632,0,0.0
23,100,3.0,random_neurons_2,95,13.604276315789473,12.929111842105263,0.6751644736842105,1,0.010526315789473684
23,100,3.0,top_writer_neurons,95,13.604276315789473,-0.9302631578947368,14.53453947368421,62,0.6526315789473685
