ci_rank,layer,neuron,found,A_act_mean,D_act_mean,act_gap_D_minus_A,downproj_dot_direction,writer_score,rank_positive,rank_abs
1,22.0,13149.0,True,14.5471735,-0.74402785,-15.291202,-0.407331,6.2285805,1.0,1.0
2,23.0,7028.0,True,-30.058718,-15.167681,14.891037,0.24562304,3.6575818,1.0,1.0
3,23.0,4894.0,True,4.7809315,19.062336,14.2814045,0.24445899,3.4912176,2.0,2.0
4,23.0,10710.0,True,-14.916448,-6.1727386,8.74371,0.23578635,2.0616474,3.0,3.0
5,23.0,4059.0,True,0.59253955,10.116447,9.523908,0.17419866,1.6590519,4.0,4.0
6,26.0,10844.0,True,-25.867846,-6.228248,19.639597,0.120831385,2.3730798,1.0,1.0
7,26.0,8328.0,True,-19.045477,-5.83676,13.208717,0.16964424,2.2407827,2.0,2.0
8,26.0,1090.0,True,-26.86324,-8.070683,18.792557,0.10884022,2.045386,3.0,3.0
9,27.0,4027.0,True,5.643497,24.108223,18.464725,0.110594206,2.0420916,1.0,2.0
10,26.0,16013.0,True,7.5488896,20.521545,12.972656,0.10486562,1.3603857,5.0,5.0
