scenario_id,split
100035,train
100206,train
100419,train
100459,train
100548,train
100702,train
100747,train
100792,train
100798,train
100831,train
100900,train
100919,train
101109,train
101121,train
101156,train
101311,train
101397,train
101521,train
101559,train
101582,train
101586,train
101660,train
101666,train
101678,train
101749,train
101755,train
101822,train
101985,train
102112,train
102146,train
102210,train
102269,train
102308,train
102334,train
102429,train
102470,train
102560,train
102600,train
102663,train
102734,train
102761,train
102770,train
102789,train
102833,train
103070,train
103156,train
103163,train
103201,train
103239,train
103336,train
103377,train
103382,train
103420,train
103470,train
103563,train
103582,train
103671,train
103684,train
103691,train
103750,train
103792,train
103868,train
103971,train
104114,train
104146,train
104199,train
104217,train
104248,train
104384,train
104425,train
104486,train
104514,train
104606,train
104640,train
104688,train
104828,train
104957,train
105137,train
105362,train
105521,train
105569,train
105585,train
105623,train
105749,train
105796,train
105798,train
105933,train
105948,train
106037,train
106158,train
106159,train
106278,train
106314,train
106715,train
107305,train
100034,test
100086,test
100185,test
100230,test
100266,test
100279,test
100394,test
100505,test
100619,test
100791,test
100850,test
100909,test
100921,test
100927,test
100962,test
101157,test
101269,test
101502,test
101600,test
101839,test
101975,test
101979,test
102046,test
102092,test
102132,test
102183,test
102187,test
102215,test
102232,test
102242,test
102285,test
102360,test
102393,test
102441,test
102559,test
102596,test
102646,test
102648,test
102704,test
102782,test
102946,test
102969,test
102993,test
103074,test
103108,test
103124,test
103167,test
103188,test
103200,test
103208,test
103256,test
103259,test
103354,test
103460,test
103490,test
103566,test
103628,test
103672,test
103679,test
103689,test
103766,test
103847,test
103920,test
103998,test
104000,test
104043,test
104083,test
104315,test
104463,test
104537,test
104539,test
104645,test
104689,test
104702,test
105079,test
105098,test
105160,test
105272,test
105315,test
105478,test
105621,test
105659,test
105674,test
105724,test
105789,test
105953,test
106091,test
106145,test
106165,test
106219,test
106317,test
106566,test
106702,test
106703,test
107067,test
