layer,k,random_delta_toward_yes_mean,random_no_to_yes_flip_rate_mean
20,1,0.001425438596491228,0.007017543859649123
20,5,0.0062499999999999995,0.010526315789473684
20,10,0.0010964912280701754,0.024561403508771926
20,20,-0.0032894736842105266,0.007017543859649123
20,50,0.005482456140350878,0.010526315789473684
22,1,0.0013157894736842103,0.010526315789473684
22,5,0.00537280701754386,0.010526315789473684
22,10,0.0038377192982456143,0.010526315789473684
22,20,0.002412280701754386,0.0035087719298245615
22,50,0.011842105263157895,0.017543859649122806
23,1,-0.005153508771929824,0.007017543859649123
23,5,0.002412280701754386,0.007017543859649123
23,10,0.0042763157894736845,0.010526315789473684
23,20,-0.0001096491228070176,0.007017543859649123
23,50,-0.0037280701754385964,0.007017543859649123
