level,selection_name,control_type,layer,k,alpha,random_id,n,normal_no_count,normal_margin_mean,patched_margin_mean,delta_toward_yes_mean,patched_yes_count,patched_yes_rate,no_to_yes_flips,no_to_yes_flip_rate
trajectory,L22_random_top100_r0,random_neurons,22,100,1.0,0,478.0,478.0,-20.38758498953975,-20.387617677824267,-3.268828451882845e-05,0.0,0.0,0.0,0.0
trajectory,L22_random_top100_r0,random_neurons,22,100,2.0,0,478.0,478.0,-20.38758498953975,-20.387683054393307,-9.806485355648535e-05,0.0,0.0,0.0,0.0
trajectory,L22_random_top100_r0,random_neurons,22,100,4.0,0,478.0,478.0,-20.38758498953975,-20.38755230125523,3.268828451882845e-05,0.0,0.0,0.0,0.0
trajectory,L22_random_top100_r0,random_neurons,22,100,6.0,0,478.0,478.0,-20.38758498953975,-20.387715742677823,-0.0001307531380753138,0.0,0.0,0.0,0.0
trajectory,L22_random_top200_r0,random_neurons,22,200,1.0,0,478.0,478.0,-20.38758498953975,-20.387111009414227,0.00047398012552301254,0.0,0.0,0.0,0.0
trajectory,L22_random_top200_r0,random_neurons,22,200,2.0,0,478.0,478.0,-20.38758498953975,-20.386310146443513,0.0012748430962343097,0.0,0.0,0.0,0.0
trajectory,L22_random_top200_r0,random_neurons,22,200,4.0,0,478.0,478.0,-20.38758498953975,-20.383760460251047,0.003824529288702929,0.0,0.0,0.0,0.0
trajectory,L22_random_top200_r0,random_neurons,22,200,6.0,0,478.0,478.0,-20.38758498953975,-20.381619377615063,0.005965611924686192,0.0,0.0,0.0,0.0
trajectory,L22_random_top500_r0,random_neurons,22,500,1.0,0,478.0,478.0,-20.38758498953975,-20.38758498953975,0.0,0.0,0.0,0.0,0.0
trajectory,L22_random_top500_r0,random_neurons,22,500,2.0,0,478.0,478.0,-20.38758498953975,-20.38758498953975,0.0,0.0,0.0,0.0,0.0
trajectory,L22_random_top500_r0,random_neurons,22,500,4.0,0,478.0,478.0,-20.38758498953975,-20.38758498953975,0.0,0.0,0.0,0.0,0.0
trajectory,L22_random_top500_r0,random_neurons,22,500,6.0,0,478.0,478.0,-20.38758498953975,-20.38758498953975,0.0,0.0,0.0,0.0,0.0
trajectory,L22_random_top50_r0,random_neurons,22,50,1.0,0,478.0,478.0,-20.38758498953975,-20.38758498953975,0.0,0.0,0.0,0.0,0.0
trajectory,L22_random_top50_r0,random_neurons,22,50,2.0,0,478.0,478.0,-20.38758498953975,-20.38758498953975,0.0,0.0,0.0,0.0,0.0
trajectory,L22_random_top50_r0,random_neurons,22,50,4.0,0,478.0,478.0,-20.38758498953975,-20.38758498953975,0.0,0.0,0.0,0.0,0.0
trajectory,L22_random_top50_r0,random_neurons,22,50,6.0,0,478.0,478.0,-20.38758498953975,-20.38758498953975,0.0,0.0,0.0,0.0,0.0
trajectory,L22_top100,ci_top_neurons,22,100,1.0,-1,478.0,478.0,-20.38758498953975,-16.97930831589958,3.4082766736401675,3.0,0.006276150627615063,3.0,0.006276150627615063
trajectory,L22_top100,ci_top_neurons,22,100,2.0,-1,478.0,478.0,-20.38758498953975,-11.942468619246862,8.445116370292887,9.0,0.01882845188284519,9.0,0.01882845188284519
trajectory,L22_top100,ci_top_neurons,22,100,4.0,-1,478.0,478.0,-20.38758498953975,1.6586035564853556,22.046188546025103,385.0,0.805439330543933,385.0,0.805439330543933
trajectory,L22_top100,ci_top_neurons,22,100,6.0,-1,478.0,478.0,-20.38758498953975,16.565736140167363,36.95332112970711,478.0,1.0,478.0,1.0
trajectory,L22_top200,ci_top_neurons,22,200,1.0,-1,478.0,478.0,-20.38758498953975,-17.049228556485357,3.3383564330543933,3.0,0.006276150627615063,3.0,0.006276150627615063
trajectory,L22_top200,ci_top_neurons,22,200,2.0,-1,478.0,478.0,-20.38758498953975,-12.116141474895397,8.271443514644352,6.0,0.012552301255230125,6.0,0.012552301255230125
trajectory,L22_top200,ci_top_neurons,22,200,4.0,-1,478.0,478.0,-20.38758498953975,1.2236532426778242,21.611238232217573,368.0,0.7698744769874477,368.0,0.7698744769874477
trajectory,L22_top200,ci_top_neurons,22,200,6.0,-1,478.0,478.0,-20.38758498953975,15.958191684100418,36.34577667364017,478.0,1.0,478.0,1.0
trajectory,L22_top50,ci_top_neurons,22,50,1.0,-1,478.0,478.0,-20.38758498953975,-17.082374476987447,3.3052105125523012,3.0,0.006276150627615063,3.0,0.006276150627615063
trajectory,L22_top50,ci_top_neurons,22,50,2.0,-1,478.0,478.0,-20.38758498953975,-12.220449790794978,8.16713519874477,9.0,0.01882845188284519,9.0,0.01882845188284519
trajectory,L22_top50,ci_top_neurons,22,50,4.0,-1,478.0,478.0,-20.38758498953975,0.9418148535564853,21.329399843096233,326.0,0.6820083682008368,326.0,0.6820083682008368
trajectory,L22_top50,ci_top_neurons,22,50,6.0,-1,478.0,478.0,-20.38758498953975,15.617220188284518,36.00480517782427,478.0,1.0,478.0,1.0
trajectory,L22_top500,ci_top_neurons,22,500,1.0,-1,478.0,478.0,-20.38758498953975,-17.12640559623431,3.261179393305439,3.0,0.006276150627615063,3.0,0.006276150627615063
trajectory,L22_top500,ci_top_neurons,22,500,2.0,-1,478.0,478.0,-20.38758498953975,-12.350124215481172,8.037460774058577,6.0,0.012552301255230125,6.0,0.012552301255230125
trajectory,L22_top500,ci_top_neurons,22,500,4.0,-1,478.0,478.0,-20.38758498953975,0.6006799163179917,20.98826490585774,312.0,0.6527196652719666,312.0,0.6527196652719666
trajectory,L22_top500,ci_top_neurons,22,500,6.0,-1,478.0,478.0,-20.38758498953975,15.163637552301255,35.55122254184101,478.0,1.0,478.0,1.0
